Risk_Factor,Period,Mean,Std,N,Prevalence_%
BMI Category,Pre-Pandemic (2015-2019),2.016005532890774,0.8309287139423571,1299863,
BMI Category,Pandemic (2020-2022),2.044989981383848,0.8264975266257162,703690,
BMI Category,Post-Pandemic (2023-2024),2.047533809432693,0.8321184587977007,486033,
Exercise,Pre-Pandemic (2015-2019),,,1299863,34.07474480002893
Exercise,Pandemic (2020-2022),,,703690,34.23368244539499
Exercise,Post-Pandemic (2023-2024),,,486033,34.3085757551442
Smoking Status,Pre-Pandemic (2015-2019),,,1299863,21.225544538155177
Smoking Status,Pandemic (2020-2022),,,703690,19.65211954127528
Smoking Status,Post-Pandemic (2023-2024),,,486033,17.10151368322727
Heavy Alcohol,Pre-Pandemic (2015-2019),,,1299863,7.317848111685617
Heavy Alcohol,Pandemic (2020-2022),,,703690,7.926217510551521
Heavy Alcohol,Post-Pandemic (2023-2024),,,486033,7.4350918559027885
Health Status,Pre-Pandemic (2015-2019),,,1299863,69.99668426595726
Health Status,Pandemic (2020-2022),,,703690,72.40816268527335
Health Status,Post-Pandemic (2023-2024),,,486033,68.62455841475784
Poor Physical Health Days,Pre-Pandemic (2015-2019),11.466208361958145,27.269932682262187,1299863,
Poor Physical Health Days,Pandemic (2020-2022),0.6308758117921244,0.7840441313824112,703690,
Poor Physical Health Days,Post-Pandemic (2023-2024),0.7110299094917424,0.7985803148750692,486033,
Poor Mental Health Days,Pre-Pandemic (2015-2019),12.547208436581393,28.945916044770687,1299863,
Poor Mental Health Days,Pandemic (2020-2022),0.6445835524165471,0.7869793497658993,703690,
Poor Mental Health Days,Post-Pandemic (2023-2024),0.6815401423360142,0.7936527912655206,486033,
