Year,Period,Total_N,Diabetic_N,Prevalence_%
2015,Pre-Pandemic (2015-2019),251265,3390,1.349173183690526
2016,Pre-Pandemic (2015-2019),268568,3438,1.280122724970957
2017,Pre-Pandemic (2015-2019),257046,3118,1.2130124569143266
2018,Pre-Pandemic (2015-2019),245634,3632,1.4786226662432724
2019,Pre-Pandemic (2015-2019),237311,3608,1.520367787418198
2020,Pandemic (2020-2022),230891,3248,1.4067243850994626
2021,Pandemic (2020-2022),246494,3602,1.4612931754931155
2022,Pandemic (2020-2022),249286,3644,1.4617748289113708
2023,Post-Pandemic (2023-2024),238524,3054,1.2803743019570357
2024,Post-Pandemic (2023-2024),252028,3220,1.2776358182424175
