Feature,Mean_Importance,Std_Importance,CV,Min,Max,Range
HEALTH_CARE_COVERAGE,0.03284511850215495,0.033991582613096344,1.0349051598296464,0.006542934570461512,0.09243105351924896,0.08588811894878745
EXERCISE,0.03444962576031685,0.0343380878626011,0.9967622900030387,0.006262543611228466,0.08493618667125702,0.07867364306002855
EDUCATION_LEVEL,0.035152944689616564,0.034693818463892766,0.9869391816310793,0.00667498679831624,0.07920705527067184,0.0725320684723556
HEALTH_STATUS,0.0342708979267627,0.03348961843012459,0.9772028296921861,0.007451558019965887,0.07956474274396896,0.07211318472400308
SMOKER,0.03529856842942536,0.03444558336153042,0.9758351370651088,0.0068533276207745075,0.08588085323572159,0.07902752561494708
BMICAT,0.035020496463403106,0.03407114744105292,0.972891617246424,0.006967701483517885,0.0770624428987503,0.07009474141523242
POOR_PHYSICAL_HEALTH_DAYS,0.03352758232504129,0.03240227328099408,0.9664363200084745,0.007118268869817257,0.07582470774650574,0.06870643887668848
INCOME,0.03720884285867214,0.035170582568666404,0.9452210782864836,0.007921509444713593,0.08356083184480667,0.07563932240009308
AGE_CATEGORIES,0.07815843932330609,0.07047273106641687,0.901665023976529,0.017177313566207886,0.1711246520280838,0.15394733846187592
SEX,0.6440674901008606,0.3406152077848775,0.5288501795542224,0.1927984654903412,0.926798403263092,0.7339999377727509
