Year,Feature,Importance
2015,HEALTH_STATUS,0.3092517554759979
2015,AGE_CATEGORIES,0.2929840385913849
2015,BMICAT,0.22766545414924622
2015,SEX,0.05563553795218468
2015,SMOKER,0.027585815638303757
2015,HEALTH_CARE_COVERAGE,0.027086034417152405
2015,INCOME,0.016029590740799904
2015,EDUCATION_LEVEL,0.01594926416873932
2015,POOR_PHYSICAL_HEALTH_DAYS,0.01460147462785244
2015,EXERCISE,0.013211066834628582
2016,AGE_CATEGORIES,0.30083683133125305
2016,BMICAT,0.280817449092865
2016,HEALTH_STATUS,0.24241530895233154
2016,SEX,0.04001636430621147
2016,HEALTH_CARE_COVERAGE,0.03928438946604729
2016,SMOKER,0.033116742968559265
2016,EDUCATION_LEVEL,0.016239088028669357
2016,INCOME,0.016018597409129143
2016,EXERCISE,0.015883097425103188
2016,POOR_PHYSICAL_HEALTH_DAYS,0.015372168272733688
2017,AGE_CATEGORIES,0.31057968735694885
2017,HEALTH_STATUS,0.282421350479126
2017,BMICAT,0.22882281243801117
2017,SEX,0.046345602720975876
2017,HEALTH_CARE_COVERAGE,0.035912372171878815
2017,SMOKER,0.033155787736177444
2017,POOR_PHYSICAL_HEALTH_DAYS,0.017647160217165947
2017,EDUCATION_LEVEL,0.016915975138545036
2017,INCOME,0.014996537007391453
2017,EXERCISE,0.013202699832618237
2018,AGE_CATEGORIES,0.33226561546325684
2018,HEALTH_STATUS,0.2634461224079132
2018,BMICAT,0.1993347704410553
2018,SEX,0.052351225167512894
2018,HEALTH_CARE_COVERAGE,0.046044107526540756
2018,SMOKER,0.034306928515434265
2018,POOR_PHYSICAL_HEALTH_DAYS,0.019736042246222496
2018,EDUCATION_LEVEL,0.018637655302882195
2018,INCOME,0.017960291355848312
2018,EXERCISE,0.015917224809527397
2019,AGE_CATEGORIES,0.36874935030937195
2019,HEALTH_STATUS,0.24701343476772308
2019,BMICAT,0.1883659064769745
2019,SEX,0.047833461314439774
2019,HEALTH_CARE_COVERAGE,0.04149559512734413
2019,SMOKER,0.038263123482465744
2019,POOR_PHYSICAL_HEALTH_DAYS,0.018458912149071693
2019,EDUCATION_LEVEL,0.01766641065478325
2019,INCOME,0.01746623031795025
2019,EXERCISE,0.014687517657876015
2020,AGE_CATEGORIES,0.3244364857673645
2020,HEALTH_STATUS,0.2619570791721344
2020,BMICAT,0.19872882962226868
2020,HEALTH_CARE_COVERAGE,0.05326022952795029
2020,SEX,0.04719189554452896
2020,SMOKER,0.03699244186282158
2020,EXERCISE,0.02430785819888115
2020,INCOME,0.018707886338233948
2020,EDUCATION_LEVEL,0.017838802188634872
2020,POOR_PHYSICAL_HEALTH_DAYS,0.016578473150730133
2021,AGE_CATEGORIES,0.34398016333580017
2021,HEALTH_STATUS,0.2276516556739807
2021,BMICAT,0.22418461740016937
2021,HEALTH_CARE_COVERAGE,0.045513611286878586
2021,SEX,0.04239823669195175
2021,SMOKER,0.04190366342663765
2021,EXERCISE,0.022913794964551926
2021,INCOME,0.018296636641025543
2021,POOR_PHYSICAL_HEALTH_DAYS,0.016782039776444435
2021,EDUCATION_LEVEL,0.016375591978430748
2022,AGE_CATEGORIES,0.3479393720626831
2022,HEALTH_STATUS,0.23382329940795898
2022,BMICAT,0.19694676995277405
2022,HEALTH_CARE_COVERAGE,0.051617350429296494
2022,SEX,0.04748339205980301
2022,SMOKER,0.04315239563584328
2022,EXERCISE,0.02403070591390133
2022,EDUCATION_LEVEL,0.01885857805609703
2022,INCOME,0.01850353740155697
2022,POOR_PHYSICAL_HEALTH_DAYS,0.017644552513957024
2023,AGE_CATEGORIES,0.38171637058258057
2023,HEALTH_STATUS,0.21603551506996155
2023,BMICAT,0.18524713814258575
2023,SMOKER,0.048291418701410294
2023,SEX,0.044515542685985565
2023,HEALTH_CARE_COVERAGE,0.03956593573093414
2023,EXERCISE,0.03189452737569809
2023,EDUCATION_LEVEL,0.01796536333858967
2023,INCOME,0.017741244286298752
2023,POOR_PHYSICAL_HEALTH_DAYS,0.01702696457505226
2024,AGE_CATEGORIES,0.3605276942253113
2024,HEALTH_STATUS,0.2596416473388672
2024,BMICAT,0.17587371170520782
2024,HEALTH_CARE_COVERAGE,0.047917407006025314
2024,SMOKER,0.040295928716659546
2024,SEX,0.03931589797139168
2024,EXERCISE,0.025632578879594803
2024,EDUCATION_LEVEL,0.017426323145627975
2024,INCOME,0.016720423474907875
2024,POOR_PHYSICAL_HEALTH_DAYS,0.01664845645427704
